SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-8-2019,Single Family Residential,3115 191st Pl SE,Bothell,WA,98012,787000,5,2.5,Bothell,3004,4792,2015,118,262,45,Sold,,,http://www.redfin.com/WA/Bothell/3115-191st-Pl-SE-98012/home/105199389,NWMLS,1515522,N,Y,47.8239001,-122.1906266
PAST SALE,August-9-2019,Condo/Co-op,17929 33rd Ave SE #16,Bothell,WA,98012,720000,4,3.5,Mays Pond,2701,3599,2016,178,267,68,Sold,,,http://www.redfin.com/WA/Bothell/17929-33rd-Ave-SE-98012/unit-16/home/106203409,NWMLS,1480264,N,Y,47.8349181,-122.1880482
PAST SALE,,Single Family Residential,2814 Stafford Way,Bothell,WA,98012,520000,3,1.0,,1506,9583,1968,,345,,,,,http://www.redfin.com/WA/Bothell/2814-Stafford-Way-98012/home/2750283,,,N,Y,47.8227137,-122.1948382
PAST SALE,November-20-2019,Single Family Residential,3307 200th Pl SE,Bothell,WA,98012,570000,3,2.5,Thrashers Corner,1698,5227,1996,75,336,45,Sold,,,http://www.redfin.com/WA/Bothell/3307-200th-Pl-SE-98012/home/2851317,NWMLS,1508926,N,Y,47.8162382,-122.1885038
PAST SALE,August-23-2019,Single Family Residential,17120 16th Ave SE,Bothell,WA,98012,725000,4,2.5,Mill Creek,2859,8712,2001,164,254,47,Sold,,,http://www.redfin.com/WA/Bothell/17120-16th-Ave-SE-98012/home/2882476,NWMLS,1496977,N,Y,47.8421675,-122.2115799
PAST SALE,August-7-2019,Single Family Residential,2416 243rd Pl SE,Bothell,WA,98021,665000,3,2.5,Bothell,2112,9583,1985,180,315,,Sold,,,http://www.redfin.com/WA/Bothell/2416-243rd-Pl-SE-98021/home/2806354,NWMLS,1460430,N,Y,47.7766354,-122.1996877
PAST SALE,November-18-2019,Single Family Residential,22703 14th Pl W,Bothell,WA,98021,495000,3,2.0,Bothell,1248,6534,1984,77,397,,Sold,,,http://www.redfin.com/WA/Bothell/22703-14th-Pl-W-98021/home/2802931,NWMLS,1515617,N,Y,47.7923973,-122.252203
PAST SALE,September-20-2019,Condo/Co-op,15300 112th Ave NE Unit B104,Bothell,WA,98011,260000,1,1.0,Norway Hill,740,146021,1999,136,351,281,Sold,,,http://www.redfin.com/WA/Bothell/15300-112th-Ave-NE-98011/unit-B104/home/8188758,NWMLS,1444362,N,Y,47.7394231,-122.1907686
PAST SALE,August-22-2019,Single Family Residential,22923 41st Dr SE,Bothell,WA,98021,625000,4,2.5,Bothell,2169,3920,2011,165,288,34,Sold,,,http://www.redfin.com/WA/Bothell/22923-41st-Dr-SE-98021/home/40602795,NWMLS,1488560,N,Y,47.7893198,-122.1771735
PAST SALE,October-2-2019,Single Family Residential,3908 174th St SE,Bothell,WA,98012,778000,4,2.25,Mill Creek,2565,3650,2016,124,303,56,Sold,,,http://www.redfin.com/WA/Bothell/3908-174th-St-SE-98012/unit-10/home/103636607,NWMLS,1511194,N,Y,47.839627,-122.179702
PAST SALE,November-6-2019,Townhouse,2115 201st Pl SE Unit D5,Bothell,WA,98012,440000,3,2.75,Thrashers Corner,1743,,2007,89,252,171,Sold,,,http://www.redfin.com/WA/Bothell/2115-201st-Pl-SE-98012/unit-D5/home/21500264,NWMLS,1513902,N,Y,47.8165122,-122.2049606
PAST SALE,October-30-2019,Single Family Residential,16212 5th Ave SE,Bothell,WA,98012,719950,4,2.75,Mill Creek,2678,4792,2016,96,269,42,Sold,,,http://www.redfin.com/WA/Bothell/16212-5th-Ave-SE-98012/home/86131178,NWMLS,1517357,N,Y,47.8509889,-122.2248366
